quote,movie,type,year,clean_quote,clean_quote_light,clean_quote_strict
Listen to them. Children of the night. What music they make.,Dracula,movie,1931,listen to them children of the night what music they make,listen to them children of the night what music they make,listen child night music make
It's alive! It's alive!,Frankenstein,movie,1931,its alive its alive,it s alive it s alive,alive alive
"Oh, no, it wasn't the airplanes. It was Beauty killed the Beast.",King Kong,movie,1933,oh no it wasnt the airplanes it was beauty killed the beast,oh no it wasn t the airplanes it was beauty killed the beast,oh airplane beauty kill beast
"Magic Mirror on the wall, who is the fairest one of all?",Snow White and the Seven Dwarves,movie,1937,magic mirror on the wall who is the fairest one of all,magic mirror on the wall who is the fairest one of all,magic mirror wall fairest one
"Elementary, my dear Watson.",The Adventures of Sherlock Holmes,movie,1939,elementary my dear watson,elementary my dear watson,elementary dear watson
"I'll get you, my pretty, and your little dog, too!",The Wizard of Oz,movie,1939,ill get you my pretty and your little dog too,i ll get you my pretty and your little dog too,get pretty little dog
"After all, tomorrow is another day!",Gone With the Wind,movie,1939,after all tomorrow is another day,after all tomorrow is another day,tomorrow another day
"Frankly, my dear, I don't give a damn.",Gone with the Wind,movie,1939,frankly my dear i dont give a damn,frankly my dear i don t give a damn,frankly dear give damn
"Toto, I've got a feeling we're not in Kansas anymore.",The Wizard of Oz,movie,1939,toto ive got a feeling were not in kansas anymore,toto i ve got a feeling we re not in kansas anymore,toto get feeling kansa anymore
There's no place like home.,The Wizard of Oz,movie,1939,theres no place like home,there s no place like home,place like home
"As God is my witness, I'll never be hungry again.",Gone with the Wind,movie,1939,as god is my witness ill never be hungry again,as god is my witness i ll never be hungry again,god witness never hungry
"It's gone forever, that funny young, lost look I loved won't ever come back. I killed that when I told you about Rebecca. It's gone. In a few hours, you've grown so much older.",Rebecca,movie,1940,its gone forever that funny young lost look i loved wont ever come back i killed that when i told you about rebecca its gone in a few hours youve grown so much older,it s gone forever that funny young lost look i loved won t ever come back i killed that when i told you about rebecca it s gone in a few hours you ve grown so much older,go forever funny young lose look love ever come back kill told rebecca go hour grown much old
"Here's looking at you, kid.",Casablanca,movie,1942,heres looking at you kid,here s looking at you kid,look kid
"Play it, Sam. Play 'As Time Goes By.",Casablanca,movie,1942,play it sam play as time goes by,play it sam play as time goes by,play sam play time go
We'll always have Paris.,Casablanca,movie,1942,well always have paris,we ll always have paris,always paris
Round up the usual suspects.,Casablanca,movie,1942,round up the usual suspects,round up the usual suspects,round usual suspect
This is the beginning of a beautiful friendship.,Casablanca,movie,1942,this is the beginning of a beautiful friendship,this is the beginning of a beautiful friendship,begin beautiful friendship
"When it comes to women, you’re a true democrat.",Casablanca,movie,1942,when it comes to women you’re a true democrat,when it comes to women you re a true democrat,come woman true democrat
I am big! It's the pictures that got small.,Sunset Blvd.,movie,1950,i am big its the pictures that got small,i am big it s the pictures that got small,big picture get small
Nobody ever lies about being lonely.,Here to Eternity,movie,1953,nobody ever lies about being lonely,nobody ever lies about being lonely,nobody ever lie lonely
"You don't understand! I coulda had class. I coulda been a contender. I could've been somebody, instead of a bum, which is what I am.",On The Waterfront,movie,1954,you dont understand i coulda had class i coulda been a contender i couldve been somebody instead of a bum which is what i am,you don t understand i coulda had class i coulda been a contender i could ve been somebody instead of a bum which is what i am,understand coulda class coulda contender could somebody instead bum
"Where we're going, we don't need roads",Back to the future,movie,1958,where were going we dont need roads,where we re going we don t need roads,go need road
"Life is a banquet, and most poor suckers are starving to death!",Auntie Mame,movie,1958,life is a banquet and most poor suckers are starving to death,life is a banquet and most poor suckers are starving to death,life banquet poor sucker starve death
Well nobody is perfect,Some Like It Hot,movie,1959,well nobody is perfect,well nobody is perfect,well nobody perfect
"My name is Bond, James Bond.",Dr. No,movie,1962,my name is bond james bond,my name is bond james bond,name bond james bond
Bond. James Bond,Dr. No,movie,1962,bond james bond,bond james bond,bond james bond
